age_group,age_lower,age_upper,gender,distance,stroke,standard_time,standard_seconds
6 & Under,0,6,M,25,Freestyle,35.00,35.00
6 & Under,0,6,F,25,Freestyle,34.50,34.50
6 & Under,0,6,M,25,Backstroke,39.25,39.25
6 & Under,0,6,F,25,Backstroke,38.00,38.00
7-8,7,8,M,25,Freestyle,25.00,25.00
7-8,7,8,F,25,Freestyle,26.00,26.00
7-8,7,8,M,25,Backstroke,30.75,30.75
7-8,7,8,F,25,Backstroke,30.25,30.25
8 & Under,0,8,M,25,Breaststroke,32.50,32.50
8 & Under,0,8,F,25,Breaststroke,33.00,33.00
8 & Under,0,8,M,25,Butterfly,30.50,30.50
8 & Under,0,8,F,25,Butterfly,29.50,29.50
10 & Under,0,10,M,100,IM,1:51.00,111.00
10 & Under,0,10,F,100,IM,1:51.50,111.50
9-10,9,10,M,50,Freestyle,46.75,46.75
9-10,9,10,F,50,Freestyle,47.25,47.25
9-10,9,10,M,50,Breaststroke,59.25,59.25
9-10,9,10,F,50,Breaststroke,1:00.50,60.50
9-10,9,10,M,50,Backstroke,58.00,58.00
9-10,9,10,F,50,Backstroke,58.75,58.75
9-10,9,10,M,50,Butterfly,55.50,55.50
9-10,9,10,F,50,Butterfly,53.75,53.75
11-12,11,12,M,100,IM,1:39.00,99.00
11-12,11,12,F,100,IM,1:36.00,96.00
11-12,11,12,M,50,Freestyle,39.50,39.50
11-12,11,12,F,50,Freestyle,39.00,39.00
11-12,11,12,M,50,Breaststroke,52.50,52.50
11-12,11,12,F,50,Breaststroke,51.75,51.75
11-12,11,12,M,50,Backstroke,49.75,49.75
11-12,11,12,F,50,Backstroke,48.50,48.50
11-12,11,12,M,50,Butterfly,48.25,48.25
11-12,11,12,F,50,Butterfly,43.50,43.50
13-14,13,14,M,100,IM,1:26.50,86.50
13-14,13,14,F,100,IM,1:30.25,90.25
13-14,13,14,M,50,Freestyle,33.75,33.75
13-14,13,14,F,50,Freestyle,36.00,36.00
13-14,13,14,M,50,Breaststroke,45.75,45.75
13-14,13,14,F,50,Breaststroke,48.00,48.00
13-14,13,14,M,50,Backstroke,42.50,42.50
13-14,13,14,F,50,Backstroke,43.75,43.75
13-14,13,14,M,50,Butterfly,38.75,38.75
13-14,13,14,F,50,Butterfly,40.00,40.00
15-18,15,18,M,100,IM,1:16.25,76.25
15-18,15,18,F,100,IM,1:25.50,85.50
15-18,15,18,M,50,Freestyle,29.50,29.50
15-18,15,18,F,50,Freestyle,34.50,34.50
15-18,15,18,M,50,Breaststroke,40.00,40.00
15-18,15,18,F,50,Breaststroke,45.00,45.00
15-18,15,18,M,50,Backstroke,37.50,37.50
15-18,15,18,F,50,Backstroke,41.00,41.00
15-18,15,18,M,50,Butterfly,32.75,32.75
15-18,15,18,F,50,Butterfly,36.75,36.75
